,state,race,type,Num Workers,Num Artists,artists_share,location_quotient
572,Alabama,White,"Fine Artists, Art Directors, And Animators",1496830,1310.0,0.0008751828865001369,0.5114433645395448
573,Alaska,White,"Fine Artists, Art Directors, And Animators",253950,465.0,0.0018310691080921,1.0700485119082856
574,Arizona,White,"Fine Artists, Art Directors, And Animators",1857110,2945.0,0.0015857972871827,0.9267154471882072
575,Arkansas,White,"Fine Artists, Art Directors, And Animators",1014735,895.0,0.0008820036758365484,0.5154293285030086
576,California,White,"Fine Artists, Art Directors, And Animators",7686845,30250.0,0.0039352946494953,2.299725425437749
577,Colorado,White,"Fine Artists, Art Directors, And Animators",2172170,4065.0,0.001871400488912,1.0936175480734307
578,Connecticut,White,"Fine Artists, Art Directors, And Animators",1329540,2355.0,0.00177128931811,1.0351141257456529
579,Delaware,White,"Fine Artists, Art Directors, And Animators",307920,310.0,0.001006755001299,0.5883320767279577
580,District of Columbia,White,"Fine Artists, Art Directors, And Animators",183365,605.0,0.0032994300984375,1.92813600064342
581,Florida,White,"Fine Artists, Art Directors, And Animators",5285390,10005.0,0.0018929539731221,1.106213071422909
582,Georgia,White,"Fine Artists, Art Directors, And Animators",2773560,4425.0,0.001595422489508,0.932340266797408
583,Hawaii,White,"Fine Artists, Art Directors, And Animators",177700,760.0,0.0042768711311198,2.4993374467699327
584,Idaho,White,"Fine Artists, Art Directors, And Animators",688065,870.0,0.0012644154258681,0.7389048501254374
585,Illinois,White,"Fine Artists, Art Directors, And Animators",4224420,5520.0,0.0013066882554291,0.763608438955561
586,Indiana,White,"Fine Artists, Art Directors, And Animators",2724985,2355.0,0.0008642249406877469,0.5050397102163408
587,Iowa,White,"Fine Artists, Art Directors, And Animators",1463250,1075.0,0.0007346659832564497,0.4293274561069387
588,Kansas,White,"Fine Artists, Art Directors, And Animators",1178420,1240.0,0.0010522564111267,0.6149223980111429
589,Kentucky,White,"Fine Artists, Art Directors, And Animators",1787115,1635.0,0.0009148823662718964,0.5346431274898169
590,Louisiana,White,"Fine Artists, Art Directors, And Animators",1337315,1920.0,0.0014357126032385,0.8390082754572378
591,Maine,White,"Fine Artists, Art Directors, And Animators",658985,1390.0,0.0021093044606478,1.2326449555087584
592,Maryland,White,"Fine Artists, Art Directors, And Animators",1690500,2455.0,0.0014522330671398,0.8486625794567528
593,Massachusetts,White,"Fine Artists, Art Directors, And Animators",2791055,5020.0,0.0017986030372027,1.0510758414125925
594,Michigan,White,"Fine Artists, Art Directors, And Animators",3807850,4730.0,0.0012421707787859,0.7259054218662246
595,Minnesota,White,"Fine Artists, Art Directors, And Animators",2524705,3840.0,0.0015209697766669,0.8888312510911934
596,Mississippi,White,"Fine Artists, Art Directors, And Animators",787155,570.0,0.0007241267602949863,0.4231684969520143
597,Missouri,White,"Fine Artists, Art Directors, And Animators",2479115,2695.0,0.0010870814786728,0.6352736297260425
598,Montana,White,"Fine Artists, Art Directors, And Animators",472695,930.0,0.0019674420080601,1.149742728817141
599,Nebraska,White,"Fine Artists, Art Directors, And Animators",845465,850.0,0.0010053639121666,0.587519145719818
600,Nevada,White,"Fine Artists, Art Directors, And Animators",749805,1250.0,0.0016671001126959,0.9742275629624604
601,New Hampshire,White,"Fine Artists, Art Directors, And Animators",690940,810.0,0.0011723159753379,0.6850833534097024
602,New Jersey,White,"Fine Artists, Art Directors, And Animators",2640925,4140.0,0.001567632552988,0.9161002570196004
603,New Mexico,White,"Fine Artists, Art Directors, And Animators",374900,1520.0,0.0040544145105361,2.369337232814175
604,New York,White,"Fine Artists, Art Directors, And Animators",5774960,17035.0,0.0029498039813262,1.723819896633022
605,North Carolina,White,"Fine Artists, Art Directors, And Animators",3309215,5050.0,0.0015260416745361,0.8917951898870737
606,North Dakota,White,"Fine Artists, Art Directors, And Animators",363175,145.0,0.0003992565567563847,0.2333193665595369
607,Ohio,White,"Fine Artists, Art Directors, And Animators",4775955,5760.0,0.0012060415142102,0.7047920375462683
608,Oklahoma,White,"Fine Artists, Art Directors, And Animators",1276415,1395.0,0.0010929047370956,0.6386766520272227
609,Oregon,White,"Fine Artists, Art Directors, And Animators",1600140,3895.0,0.002434162010824,1.4224866914716603
610,Pennsylvania,White,"Fine Artists, Art Directors, And Animators",5161830,6280.0,0.0012166227868798,0.7109755699013078
611,Rhode Island,White,"Fine Artists, Art Directors, And Animators",423445,670.0,0.0015822597976124,0.9246481929082366
612,South Carolina,White,"Fine Artists, Art Directors, And Animators",1586190,1745.0,0.0011001204143261,0.6428933823782185
613,South Dakota,White,"Fine Artists, Art Directors, And Animators",398225,330.0,0.0008286772553204847,0.4842661918052002
614,Tennessee,White,"Fine Artists, Art Directors, And Animators",2455855,3055.0,0.0012439659507584,0.7269544926464442
615,Texas,White,"Fine Artists, Art Directors, And Animators",6162190,10455.0,0.0016966370722097,0.991488506000768
616,Utah,White,"Fine Artists, Art Directors, And Animators",1227970,2560.0,0.0020847414839124,1.2182907311992917
617,Vermont,White,"Fine Artists, Art Directors, And Animators",319270,805.0,0.0025213768910326,1.4734537207176106
618,Virginia,White,"Fine Artists, Art Directors, And Animators",2778485,3335.0,0.0012002944050444,0.7014335156950555
619,Washington,White,"Fine Artists, Art Directors, And Animators",2668545,5625.0,0.0021078902548017,1.2318185154501065
620,West Virginia,White,"Fine Artists, Art Directors, And Animators",734535,445.0,0.000605825454198915,0.3540350404453921
621,Wisconsin,White,"Fine Artists, Art Directors, And Animators",2597700,2975.0,0.0011452438695769,0.6692628328429076
622,Wyoming,White,"Fine Artists, Art Directors, And Animators",260685,335.0,0.001285075857836,0.7509784875348182
624,Alabama,African-American,"Fine Artists, Art Directors, And Animators",581200,80.0,0.00013764624913971095,0.2869121662690666
628,California,African-American,"Fine Artists, Art Directors, And Animators",1066265,1290.0,0.0012098305768265,2.521791285889297
630,Connecticut,African-American,"Fine Artists, Art Directors, And Animators",191785,70.0,0.00036499204838751726,0.7607955896244952
632,District of Columbia,African-American,"Fine Artists, Art Directors, And Animators",149480,385.0,0.0025755953973775,5.368614542806637
633,Florida,African-American,"Fine Artists, Art Directors, And Animators",1569980,515.0,0.00032802965642874434,0.6837505556067951
634,Georgia,African-American,"Fine Artists, Art Directors, And Animators",1613775,490.0,0.0003036358848042633,0.6329037660720589
637,Illinois,African-American,"Fine Artists, Art Directors, And Animators",848255,430.0,0.0005069230361153191,1.056638937367007
638,Indiana,African-American,"Fine Artists, Art Directors, And Animators",292355,145.0,0.0004959723623676694,1.0338131680730327
639,Iowa,African-American,"Fine Artists, Art Directors, And Animators",56060,25.0,0.0004459507670353193,0.9295473100003429
641,Kentucky,African-American,"Fine Artists, Art Directors, And Animators",176080,80.0,0.00045433893684688776,0.9470317528145248
642,Louisiana,African-American,"Fine Artists, Art Directors, And Animators",656860,435.0,0.0006622415735468745,1.3803875198002231
644,Maryland,African-American,"Fine Artists, Art Directors, And Animators",957780,525.0,0.0005481425797155923,1.1425576501607924
645,Massachusetts,African-American,"Fine Artists, Art Directors, And Animators",260415,120.0,0.0004608029491388745,0.9605054491998244
646,Michigan,African-American,"Fine Artists, Art Directors, And Animators",624375,190.0,0.0003043043043043043,0.634297030966176
648,Mississippi,African-American,"Fine Artists, Art Directors, And Animators",488460,55.0,0.00011259877983867666,0.2347027982577126
649,Missouri,African-American,"Fine Artists, Art Directors, And Animators",340530,130.0,0.0003817578480603,0.7957425056025019
652,Nevada,African-American,"Fine Artists, Art Directors, And Animators",125635,115.0,0.000915350021888805,1.907971044005639
654,New Jersey,African-American,"Fine Artists, Art Directors, And Animators",584190,300.0,0.0005135315565141478,1.0704138488906532
656,New York,African-American,"Fine Artists, Art Directors, And Animators",1375735,930.0,0.0006760022824163084,1.4090705737577625
657,North Carolina,African-American,"Fine Artists, Art Directors, And Animators",1079195,165.0,0.00015289173874971624,0.3186901222771481
659,Ohio,African-American,"Fine Artists, Art Directors, And Animators",680665,270.0,0.000396670902720134,0.8268275285861438
661,Oregon,African-American,"Fine Artists, Art Directors, And Animators",39020,85.0,0.0021783700666324,4.540631355082147
662,Pennsylvania,African-American,"Fine Artists, Art Directors, And Animators",636035,445.0,0.0006996470320029558,1.4583560891073954
664,South Carolina,African-American,"Fine Artists, Art Directors, And Animators",638810,205.0,0.00032090919052613456,0.6689085362293603
666,Tennessee,African-American,"Fine Artists, Art Directors, And Animators",554550,40.0,7.213055630691552e-05,0.1503501497029857
667,Texas,African-American,"Fine Artists, Art Directors, And Animators",1699445,1175.0,0.0006914021930689136,1.4411704075948932
670,Virginia,African-American,"Fine Artists, Art Directors, And Animators",837445,350.0,0.00041793789442888784,0.8711568052596519
671,Washington,African-American,"Fine Artists, Art Directors, And Animators",147305,45.0,0.00030548861206340584,0.6367656220597713
678,Arizona,Asian,"Fine Artists, Art Directors, And Animators",120580,165.0,0.0013683861336871,0.9053073033661404
680,California,Asian,"Fine Artists, Art Directors, And Animators",3008795,6025.0,0.0020024627799501,1.3248045524423069
682,Connecticut,Asian,"Fine Artists, Art Directors, And Animators",89425,55.0,0.0006150405367626502,0.4069031950047122
685,Florida,Asian,"Fine Artists, Art Directors, And Animators",292825,240.0,0.0008196021514556477,0.5422386235148908
686,Georgia,Asian,"Fine Artists, Art Directors, And Animators",217095,215.0,0.0009903498468412449,0.6552031821727585
