,name,height,diameter,opened,closed,country,location,number_of_cabins,passengers_per_cabin,seating_capacity,hourly_capacity,ride_duration_minutes,climate_controlled,construction_cost,status,design_manufacturer,type,vip_area,ticket_cost_to_ride,official_website,turns
39,New York Wheel,630.0,Unrecorded,2017-01-01,TBD,USA,Staten Island; New York City,36.0,40.0,1440.0,2273.0,38.0,Yes,$580 million USD,Under Construction,Mammoet-Starneth,Fixed,Yes,~$35,http://www.newyorkwheel.com/,1.0
40,Niagara SkyWheel,175.0,166.65,2006-06-17,TBD,Canada,Clifton Hills; Niagara Falls,42.0,8.0,336.0,2016.0,10.0,Yes,$10 million USD,Operating,Chance,Fixed,No,$10.99+tax for Adults and $6.99+tax for Children,http://www.cliftonhill.com/attractions/niagara-skywheel,3.0
42,Observation Wheel Leeds,197.0,Unrecorded,2013-02-16,TBD,UK,Leeds,40.0,6.0,240.0,1107.0,13.0,Yes,Unrecorded,SBNO,,Portable,Yes,Adults – 7.79 Children – 5.19 VIP – 58.41,http://www.observationwheelleeds.co.uk/,
43,Orlando Eye,400.0,Unrecorded,2015-01-01,TBD,USA,Orlando; Florida,30.0,15.0,480.0,1309.0,22.0,Yes,$90 million USD,Under Construction,Intamin,,Yes,TBA,Website does not exit,1.0
47,Seattle Great Wheel,175.0,Unrecorded,2012-06-29,TBD,USA,Pier 57; Seattle; Washington,42.0,8.0,336.0,1680.0,12.0,Yes,$20 million USD,Operating,Chance,Fixed,Yes,Adults – 13 Children – 8.50 VIP – 50,http://www.seattlegreatwheel.com/,3.0
48,Shanghai Ferris Wheel,354.0,322.0,2003-01-01,TBD,China,Jinjiang Action Park; Shanghai,63.0,6.0,378.0,907.0,25.0,No,$1.2 million USD,Operating,,Fixed,No,2.6,http://www.jjlysh.com/,
50,Singapore Flyer,541.0,492.0,2008-04-15,TBD,Singapore,Marina Centre; Downtown Core,28.0,28.0,784.0,1568.0,30.0,Yes,$180 million USD,Operating,DP Architects,Fixed,Yes,Adults – 26.05 Children – 16.58,http://www.singaporeflyer.com/,
52,Sky Scraper,150.0,Unrecorded,1991-01-01,TBD,USA,Lagoon Park; Farmington; Utah,36.0,6.0,216.0,648.0,20.0,No,$1.5 million USD,Operating,Nauta,Fixed,No,0.0,http://www.lagoonpark.com/,
53,Sky Wheel,289.0,Unrecorded,1990-01-01,TBD,Taiwan,Janfusun Fancyworld,50.0,8.0,400.0,1600.0,15.0,Yes,Unrecorded,Operating,,Fixed,No,0.0,http://www.janfusun.com.tw/,1.0
54,SkyView,200.0,Unrecorded,2013-07-16,TBD,USA,Atlanta,42.0,6.0,252.0,1008.0,15.0,Yes,Unrecorded,Operating,,Transportable,Yes,Adult – $13.50+tax ($14.45),http://www.skyviewatlanta.com/,4.0
58,Star of Nanchang,525.0,504.9,2006-05-05,TBD,China,Nanchang; Jiangxi,60.0,8.0,480.0,960.0,30.0,Yes,$7.3 million USD,Operating,Nanchang Star Entertainment Limited,Fixed,No,8.16,http://nczx.txjly.com/,
59,Star of Puebla,262.0,229.0,2013-07-08,TBD,Mexico,Linear Park; Puebla,54.0,8.0,432.0,864.0,30.0,Yes,Unrecorded,Operating,Ronald Bussink / Maurer German Wheels,Transportable,Yes,0.0,Website does not exit,1.0
61,Suzhou Ferris Wheel,394.0,361.0,2009-05-21,TBD,China,Suzhou; Jiangsu,60.0,5.0,300.0,900.0,20.0,Yes,$45.67 million USD,Operating,,Fixed,No,17.94,http://www.szmtl.net/main.html,
64,Tempozan Ferris Wheel,369.0,330.0,1997-07-12,TBD,Japan,Osaka; Honshu,60.0,8.0,480.0,1920.0,15.0,No,Unrecorded,Operating,,Fixed,No,6.97,http://www.senyo.co.jp/tempozan/index.html,
67,The Southern Star,394.0,Unrecorded,2008-01-01,TBD,Australia,Waterfront City; Melbourne,21.0,20.0,420.0,840.0,30.0,Yes,$100 million USD,SBNO,,Fixed,No,Adults – 27.99 Children – 16.41,http://www.thesouthernstar.com.au/,
68,Tianjin Eye,394.0,361.0,2009-04-05,TBD,China,Yongle Bridge; Tianjin,48.0,8.0,384.0,768.0,30.0,Yes,Unrecorded,Operating,,Fixed,No,11.41,http://www.tianjinzhiyan.com/,
70,Wheel of Perth,164.0,Unrecorded,2009-01-01,TBD,Australia,Perth,36.0,6.0,216.0,1296.0,10.0,Yes,$10 million USD,,World Tourist Attractions,Transportable,Yes,Adults – 15 Children – 10 VIP – 119,Website does not exit,3.0
72,Wonder Wheel,150.0,135.0,1920-01-01,TBD,USA,Coney Island; New York City,24.0,6.0,144.0,864.0,10.0,No,Unrecorded,Operating,Eccentric Ferris Wheel Company,Eccentric,No,7,http://www.wonderwheel.com/,2.0
